user_id,business_id,stars,date,hour_of_day,day_of_week,is_weekend,user_elite,review_length,user_experience,city,category,price_range,alcohol,outdoor_seating
gfQqQYI5_hCAGEHlHXIz2Q,FKrP06TDAKtxNG1vrRQcQQ,3.0,2006-05-04 02:21:30,night,3,0,1,medium,high,Philadelphia,Burgers,2,0,0
gfQqQYI5_hCAGEHlHXIz2Q,HTqXI5S2XcSlh_ylx9sE6g,5.0,2006-05-12 01:53:54,night,4,0,1,short,high,Philadelphia,Food,2,0,0
jTXj5uf5ER5siDnQK_y4aA,aZNiVR6oAMQX5__yGPvYsg,5.0,2006-05-23 00:06:31,night,1,0,1,medium,high,Philadelphia,Chinese,3,1,0
nnImk681KaRqUVHlSfZjGQ,3SHw4aZW_muE1kRSLQQjjA,4.0,2006-07-19 00:24:31,night,2,0,1,medium,high,TAMPA,Breakfast & Brunch,1,1,0
nnImk681KaRqUVHlSfZjGQ,9DhjKaR2f9wKATnUvxBAgg,1.0,2006-07-19 01:28:35,night,2,0,1,medium,high,Brandon,Coffee & Tea,1,1,1
nnImk681KaRqUVHlSfZjGQ,7BdU02Hf1QQx5YE3WYGcxQ,4.0,2006-07-19 14:34:03,afternoon,2,0,1,medium,high,Tampa,Fast Food,1,0,1
nnImk681KaRqUVHlSfZjGQ,p21PCK17H3WL56KSr4Ykig,4.0,2006-07-19 20:05:25,evening,2,0,1,medium,high,Tampa,Restaurants,1,1,0
3W-lOOaIVQZONZP83kab6g,_owHO6DTYU-XVP8jAcgZFw,2.0,2006-07-26 20:18:52,evening,2,0,0,medium,high,Nashville,Pizza,2,1,1
3W-lOOaIVQZONZP83kab6g,pSmOH4a3HNNpYM82J5ycLA,5.0,2006-07-26 20:34:00,evening,2,0,0,long,high,Nashville,Restaurants,2,1,0
3W-lOOaIVQZONZP83kab6g,Yv6HUVu7fRMnt_NtGdVQBw,3.0,2006-07-26 20:38:07,evening,2,0,0,medium,high,Nashville,Restaurants,2,1,0
3W-lOOaIVQZONZP83kab6g,s3FRhtaNU8dt-mKkLKUQaQ,4.0,2006-07-26 21:08:06,evening,2,0,0,medium,high,Nashville,Sushi Bars,2,1,1
3W-lOOaIVQZONZP83kab6g,ByTZJsTDDhvOYKCj7uoy4w,1.0,2006-07-26 21:25:55,evening,2,0,0,medium,high,Nashville,Nightlife,2,1,1
FZQXGfmkMASFWq3JnuQZqg,TghRoAMx43V-9l7mH-SENg,4.0,2006-07-27 14:19:35,afternoon,3,0,1,long,high,Clearwater Beach,Food,2,1,1
gfQqQYI5_hCAGEHlHXIz2Q,-ATiAtTikuGuqvaW2O6tNA,5.0,2006-07-28 02:56:48,night,4,0,1,long,high,Philadelphia,Sandwiches,2,1,1
nnImk681KaRqUVHlSfZjGQ,vU2BXpEwI_5mLcLAkRrbhg,5.0,2006-07-30 16:57:21,afternoon,6,1,1,medium,high,Tampa,Ice Cream & Frozen Yogurt,2,0,0
TDXV6AC5PYOZEyN9eeODfA,-mq1DwgcLU96PQbmcv3jRQ,4.0,2006-07-31 16:16:54,afternoon,0,0,1,long,high,Indian Rocks Beach,Nightlife,2,1,1
nnImk681KaRqUVHlSfZjGQ,mMPvgBgqON8pia_4AgGTUw,2.0,2006-08-01 21:55:51,evening,1,0,1,long,high,Tampa,Sushi Bars,2,1,0
gfQqQYI5_hCAGEHlHXIz2Q,OZ0t8PySiJGxpyGWPOpL6A,3.0,2006-08-06 02:10:31,night,6,1,1,short,high,Paulsboro,Food,1,0,0
gfQqQYI5_hCAGEHlHXIz2Q,dWoYU1l6t7_VB2LHYLHxmw,3.0,2006-08-13 02:56:39,night,6,1,1,short,high,Philadelphia,Grocery,2,0,0
zD1T8JFx3O1Rf9aNu49rpQ,eMiN8nm70jjKg8izikVWDA,5.0,2006-08-15 01:57:09,night,1,0,0,medium,high,Philadelphia,Seafood,2,1,1
26YpEJpa4uwJ60ezG9MIfQ,_owHO6DTYU-XVP8jAcgZFw,2.0,2006-08-15 20:07:42,evening,1,0,1,medium,high,Nashville,Pizza,2,1,1
26YpEJpa4uwJ60ezG9MIfQ,H3JjbID9Zhukpqr9uupHAA,3.0,2006-08-15 20:15:38,evening,1,0,1,medium,high,Nashville,Burgers,2,1,1
qjkOmSEFFEeWVTtsIl0aAw,nRKndeZLQ3eDL10UMwS2rQ,5.0,2006-08-22 20:29:25,evening,1,0,1,long,high,Saint Louis,Ice Cream & Frozen Yogurt,1,0,0
qjkOmSEFFEeWVTtsIl0aAw,2QWJsN0yk0FkkSUO_xVMKw,2.0,2006-08-22 20:38:44,evening,1,0,1,long,high,Saint Louis,Pizza,2,1,0
gfQqQYI5_hCAGEHlHXIz2Q,I5KZm-NnxYeEQsmp6nK5_w,4.0,2006-08-28 12:47:04,morning,0,0,1,long,high,Philadelphia,Food,2,1,1
FZQXGfmkMASFWq3JnuQZqg,hnJ_Bt2-Io_Mdf9p1KlprQ,3.0,2006-08-29 03:19:33,night,1,0,1,short,high,Clearwater,Restaurants,2,1,0
FZQXGfmkMASFWq3JnuQZqg,7Du9oW73YcYFmXdtU5aiSg,5.0,2006-08-29 03:21:41,night,1,0,1,medium,high,Saint Petersburg,Japanese,2,1,0
TDXV6AC5PYOZEyN9eeODfA,hnJ_Bt2-Io_Mdf9p1KlprQ,5.0,2006-08-29 15:17:46,afternoon,1,0,1,medium,high,Clearwater,Restaurants,2,1,0
TDXV6AC5PYOZEyN9eeODfA,PBtZNTQl5tRReeC8It1G7g,5.0,2006-08-30 13:23:00,afternoon,2,0,1,medium,high,Safety Harbor,Restaurants,3,1,1
TDXV6AC5PYOZEyN9eeODfA,vJU7VP831iKtwdwdD49MWw,5.0,2006-08-30 16:04:17,afternoon,2,0,1,medium,high,Palm Harbor,Specialty Food,4,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,5iuo1kvv0XZMS0bUOoLz2Q,2.0,2006-09-02 17:13:53,afternoon,5,1,1,medium,high,Philadelphia,Restaurants,2,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,pP4q0Mym-qt20nRqTKbzhQ,5.0,2006-09-02 17:32:06,afternoon,5,1,1,medium,high,Philadelphia,Steakhouses,4,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,aZNiVR6oAMQX5__yGPvYsg,3.0,2006-09-02 17:40:58,afternoon,5,1,1,long,high,Philadelphia,Chinese,3,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,8-j10_I745ITrczbkfD-Pw,5.0,2006-09-02 18:16:42,afternoon,5,1,1,medium,high,King Of Prussia,Indian,2,0,0
4PE0tDvV9Lo8VW8kDW1SFQ,d_tRshM-w6S4QxE4VVi8tQ,5.0,2006-09-02 21:44:01,evening,5,1,1,medium,high,Philadelphia,American (New),2,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,eMiN8nm70jjKg8izikVWDA,5.0,2006-09-03 17:50:19,afternoon,6,1,1,short,high,Philadelphia,Seafood,2,1,1
gfQqQYI5_hCAGEHlHXIz2Q,3ZynJ94VpIdDlaArmEp2Rg,4.0,2006-09-18 20:48:30,evening,0,0,1,long,high,Philadelphia,Food,2,0,1
3W-lOOaIVQZONZP83kab6g,37BpNvlEAT6WVGsksrHbBQ,2.0,2006-09-25 03:46:06,night,0,0,0,medium,high,Nashville,Sushi Bars,2,1,1
gfQqQYI5_hCAGEHlHXIz2Q,1DFvkUjtsqNRNlORaUYlFQ,5.0,2006-10-09 15:50:23,afternoon,0,0,1,long,high,Philadelphia,Modern European,2,1,0
gfQqQYI5_hCAGEHlHXIz2Q,lRbHFOIFuusN2WOR_ypQ_A,3.0,2006-10-30 02:58:12,night,0,0,1,long,high,Philadelphia,Restaurants,2,0,0
mZokz37TaR5jFgMrx4WyFw,kZtl_NJjUnlIQgzFrBhXyQ,4.0,2006-12-29 04:30:37,night,4,0,0,short,high,Santa Barbara,Restaurants,2,1,0
3xX-Et9I4Bi4wdRPWJkAFg,EpREWeEpmR8f1qLHzzF0AA,3.0,2007-01-05 14:06:10,afternoon,4,0,1,medium,high,Saint Louis,Local Flavor,2,1,1
biiytB_o3KzSq_s2WlDkOw,DzpaiMQnB_sNhZPrgdvKHg,3.0,2007-01-14 00:29:05,night,6,1,1,medium,high,Goleta,Sushi Bars,2,0,1
mZokz37TaR5jFgMrx4WyFw,gebiRewfieSdtt17PTW6Zg,2.0,2007-01-28 17:39:40,afternoon,6,1,0,short,high,Santa Barbara,Steakhouses,2,1,0
0yYCMhDWCEIVUyZLzDWwqQ,pj8Y-5vfbRitnnm2xJFH9w,4.0,2007-02-01 14:54:11,afternoon,3,0,1,long,high,Philadelphia,Caribbean,2,1,1
0yYCMhDWCEIVUyZLzDWwqQ,_9x1oSQghxEPuUeb5NPShw,5.0,2007-02-07 15:59:20,afternoon,2,0,1,long,high,Philadelphia,Bars,2,1,0
0yYCMhDWCEIVUyZLzDWwqQ,d_tRshM-w6S4QxE4VVi8tQ,4.0,2007-02-09 18:07:43,afternoon,4,0,1,medium,high,Philadelphia,American (New),2,1,0
4PE0tDvV9Lo8VW8kDW1SFQ,eaDZlSuVS0EY67Ke6pRP6Q,5.0,2007-02-14 17:14:56,afternoon,2,0,1,medium,high,Philadelphia,Malaysian,2,1,0
0yYCMhDWCEIVUyZLzDWwqQ,_PQzeo8P2sGczzFEifrK-Q,4.0,2007-02-19 17:55:59,afternoon,0,0,1,medium,high,Philadelphia,Food,2,0,0
0yYCMhDWCEIVUyZLzDWwqQ,b5_ZIVZHjYjzUUsMB-5b7w,4.0,2007-02-27 01:25:44,night,1,0,1,medium,high,Exton,Restaurants,3,1,1
gZcxXnogU1O-gPTbqqtMYw,vN6v8m4DO45Z4pp8yxxF_w,5.0,2007-03-11 22:09:39,evening,6,1,1,medium,high,New Orleans,Vegetarian,2,1,0
P0GbmdzeEJtx4CBsksTKIA,pSmOH4a3HNNpYM82J5ycLA,2.0,2007-05-27 15:17:08,afternoon,6,1,1,long,high,Nashville,Restaurants,2,1,0
Qa2NoSc6DphQArihBgY9Gg,B10mqANgHvL8gBteo1UhAA,3.0,2007-05-31 04:53:15,night,3,0,1,short,high,Tucson,Restaurants,2,1,1
Qa2NoSc6DphQArihBgY9Gg,sDtIjlmqRCEq4TWGlqTqjA,2.0,2007-05-31 05:28:47,night,3,0,1,long,high,Tucson,American (Traditional),1,0,1
Qa2NoSc6DphQArihBgY9Gg,0Kn5W22UmxOqPj2cjouFNA,3.0,2007-06-01 19:39:47,evening,4,0,1,long,high,Tucson,Restaurants,1,0,1
gfQqQYI5_hCAGEHlHXIz2Q,sdWuLh-auc0nC2Jy6_26AQ,4.0,2007-06-05 23:14:12,evening,1,0,1,long,high,Philadelphia,Bars,2,1,0
KwC7I2KR-HlEb3KSH4a0bw,3ZynJ94VpIdDlaArmEp2Rg,4.0,2007-06-06 00:35:49,night,2,0,0,long,low,Philadelphia,Food,2,0,1
JM2PVRrNAXTtHVT5Nbo3jg,cXSyVvOr9YRN9diDkaWs0Q,4.0,2007-06-07 03:10:52,night,3,0,0,medium,high,Philadelphia,Southern,2,1,1
3W-lOOaIVQZONZP83kab6g,H3JjbID9Zhukpqr9uupHAA,3.0,2007-06-08 18:27:08,afternoon,4,0,0,medium,high,Nashville,Burgers,2,1,1
JM2PVRrNAXTtHVT5Nbo3jg,htO_nlxkEsYHzDrtbiUxew,5.0,2007-06-09 23:28:58,evening,5,1,0,long,high,Philadelphia,Restaurants,1,0,0
JM2PVRrNAXTtHVT5Nbo3jg,3ZynJ94VpIdDlaArmEp2Rg,4.0,2007-06-10 00:46:56,night,6,1,0,medium,high,Philadelphia,Food,2,0,1
JM2PVRrNAXTtHVT5Nbo3jg,N1ZXhAVzOzbyCBPEXTaUUw,2.0,2007-06-10 01:02:26,night,6,1,0,short,high,Philadelphia,Food Delivery Services,2,0,0
RdJ7Ykelg8w4y5FTmxjT8g,1UNorskttXSWuEcgzKzXcA,5.0,2007-06-11 20:43:25,evening,0,0,1,long,high,Philadelphia,Lounges,3,1,1
gfQqQYI5_hCAGEHlHXIz2Q,htO_nlxkEsYHzDrtbiUxew,5.0,2007-06-13 00:45:41,night,2,0,1,medium,high,Philadelphia,Restaurants,1,0,0
JM2PVRrNAXTtHVT5Nbo3jg,cNfeKIYIv07oxqVozMbjpw,5.0,2007-06-15 06:16:36,night,4,0,0,long,high,Philadelphia,Sandwiches,2,1,1
JM2PVRrNAXTtHVT5Nbo3jg,D4AJVjAiJULF04BjN7bhiA,3.0,2007-06-15 17:38:58,afternoon,4,0,0,medium,high,Philadelphia,Bars,3,1,1
JM2PVRrNAXTtHVT5Nbo3jg,u9XTeDl_If4U5Eixl6ys7g,5.0,2007-06-21 04:29:52,night,3,0,0,medium,high,Philadelphia,Nightlife,2,1,0
JM2PVRrNAXTtHVT5Nbo3jg,UhSVDwQFW6mKmaEA5OTU7A,5.0,2007-06-22 04:16:56,night,4,0,0,medium,high,Philadelphia,Vegetarian,2,0,0
JM2PVRrNAXTtHVT5Nbo3jg,AbtYqoBGuvlWmR1gU0c3XA,5.0,2007-06-22 04:49:01,night,4,0,0,medium,high,Philadelphia,Food,2,1,0
gpqGjIHlvUKDTttna4wcZQ,mpVZG520RL-K1YeQi55ZPg,4.0,2007-06-28 00:14:35,night,3,0,1,long,high,Philadelphia,Burgers,1,1,0
JM2PVRrNAXTtHVT5Nbo3jg,FKrP06TDAKtxNG1vrRQcQQ,2.0,2007-06-29 08:39:42,morning,4,0,0,medium,high,Philadelphia,Burgers,2,0,0
gpqGjIHlvUKDTttna4wcZQ,eaDZlSuVS0EY67Ke6pRP6Q,4.0,2007-07-03 01:12:20,night,1,0,1,long,high,Philadelphia,Malaysian,2,1,0
RdJ7Ykelg8w4y5FTmxjT8g,-ATiAtTikuGuqvaW2O6tNA,4.0,2007-07-04 20:11:43,evening,2,0,1,long,high,Philadelphia,Sandwiches,2,1,1
Bo8l98htNUOzPLcCBM86Bg,lS1dmSXpAtQqT04eRm9kiA,5.0,2007-07-05 01:17:21,night,3,0,0,medium,high,Tucson,Restaurants,1,1,1
RdJ7Ykelg8w4y5FTmxjT8g,UhSVDwQFW6mKmaEA5OTU7A,5.0,2007-07-06 18:37:54,afternoon,4,0,1,long,high,Philadelphia,Vegetarian,2,0,0
RdJ7Ykelg8w4y5FTmxjT8g,-V0vIgo6196MDn_x3ZaYmA,4.0,2007-07-06 18:58:47,afternoon,4,0,1,long,high,Philadelphia,Restaurants,2,0,0
Xlb-Hxrvkfyadnkmk5hrgw,osOONoA8wMF5ZpLWUS7VOw,5.0,2007-07-07 00:18:03,night,5,1,1,medium,high,Indianapolis,Breakfast & Brunch,1,0,1
3W-lOOaIVQZONZP83kab6g,ZWRgvtyHRobwpi4G-Z4STQ,4.0,2007-07-09 20:12:31,evening,0,0,0,medium,high,Nashville,Food,1,0,0
gpqGjIHlvUKDTttna4wcZQ,1-OSwGhAUi7w9T4Ru-IRjA,3.0,2007-07-13 00:36:26,night,4,0,1,long,high,Philadelphia,Event Planning & Services,2,0,0
Xlb-Hxrvkfyadnkmk5hrgw,Gf1EboxqdJ9SPsVJur93Cw,1.0,2007-07-13 13:42:53,afternoon,4,0,1,medium,high,Indianapolis,Fast Food,1,1,0
CV8aQ9nTu4_1yKtd2D38hA,I5KZm-NnxYeEQsmp6nK5_w,2.0,2007-07-15 03:21:40,night,6,1,1,medium,high,Philadelphia,Food,2,1,1
CV8aQ9nTu4_1yKtd2D38hA,3sdlpskDaXr1P59BYjGoFw,4.0,2007-07-15 22:22:55,evening,6,1,1,long,high,Philadelphia,Burgers,1,0,0
gfQqQYI5_hCAGEHlHXIz2Q,pj8Y-5vfbRitnnm2xJFH9w,4.0,2007-07-17 02:46:13,night,1,0,1,long,high,Philadelphia,Caribbean,2,1,1
biiytB_o3KzSq_s2WlDkOw,xwSWtJcQkzTF6HNm_IMgcg,4.0,2007-07-17 23:55:22,evening,1,0,1,short,high,Goleta,Chicken Wings,2,1,0
biiytB_o3KzSq_s2WlDkOw,bdfZdB2MTXlT6-RBjSIpQg,2.0,2007-07-19 10:13:03,morning,3,0,1,long,high,Isla Vista,Food,1,0,1
RdJ7Ykelg8w4y5FTmxjT8g,d_tRshM-w6S4QxE4VVi8tQ,4.0,2007-07-20 19:05:06,evening,4,0,1,long,high,Philadelphia,American (New),2,1,0
RdJ7Ykelg8w4y5FTmxjT8g,4SQ5uczVt66-GGGeNQRfEA,3.0,2007-07-20 19:13:42,evening,4,0,1,medium,high,Philadelphia,Nightlife,2,1,1
gfQqQYI5_hCAGEHlHXIz2Q,RZtGWDLCAtuipwaZ-UfjmQ,3.0,2007-07-21 14:50:39,afternoon,5,1,1,long,high,Philadelphia,Pizza,2,1,1
biiytB_o3KzSq_s2WlDkOw,Wy8Hswf2cLQGRZN6armkag,3.0,2007-07-22 11:03:58,morning,6,1,1,medium,high,Goleta,Restaurants,1,0,0
gpqGjIHlvUKDTttna4wcZQ,MbKhuO-4uYPc0NRZDRWoew,2.0,2007-07-23 00:53:07,night,0,0,1,long,high,Philadelphia,Restaurants,1,0,0
gpqGjIHlvUKDTttna4wcZQ,9uHEhLKTVXATCt7JSvUsCg,3.0,2007-07-24 01:14:58,night,1,0,1,medium,high,Philadelphia,Local Flavor,1,0,0
RdJ7Ykelg8w4y5FTmxjT8g,fr2qDm_mY1afIGMvqsKUCg,5.0,2007-07-27 16:40:01,afternoon,4,0,1,long,high,Philadelphia,American (Traditional),1,0,0
CV8aQ9nTu4_1yKtd2D38hA,rxqcQ3fMMFsmKFo3EsBnEQ,1.0,2007-08-05 21:14:39,evening,6,1,1,long,high,Philadelphia,Food,1,0,0
RdJ7Ykelg8w4y5FTmxjT8g,4sLW6iLkh5ELw0XvuwGyrA,3.0,2007-08-06 02:32:49,night,0,0,1,long,high,Bensalem,Venues & Event Spaces,3,1,0
gpqGjIHlvUKDTttna4wcZQ,bSWL0YxfawjS03_g2kgujA,3.0,2007-08-10 22:20:44,evening,4,0,1,long,high,Philadelphia,Sandwiches,1,1,1
gpqGjIHlvUKDTttna4wcZQ,78kUZU8GPfHgoYO_2CNbuQ,3.0,2007-08-15 16:21:29,afternoon,2,0,1,medium,high,Philadelphia,Ice Cream & Frozen Yogurt,1,0,0
3W-lOOaIVQZONZP83kab6g,lwdkX7KcibM4mDqpDfK7JA,4.0,2007-08-25 20:36:59,evening,5,1,0,medium,high,Nashville,Caterers,2,1,1
kS1MQHYwIfD0462PE61IBw,rsDFJ05TiW7yBMdVuQ2tQQ,4.0,2007-08-26 03:17:17,night,6,1,1,medium,high,Saint Louis,Local Flavor,1,0,0
kS1MQHYwIfD0462PE61IBw,GV-e7Op4aU98xkjjoKlRhA,5.0,2007-08-26 23:31:36,evening,6,1,1,medium,high,Saint Louis,Basque,2,1,1
kS1MQHYwIfD0462PE61IBw,YlVb_cW3e68Q0ifNYVKuiw,5.0,2007-08-27 00:01:17,night,0,0,1,medium,high,Shrewsbury,Tapas Bars,2,1,1
RdJ7Ykelg8w4y5FTmxjT8g,zmpRwOqxaajeh2YvAKxLaQ,3.0,2007-08-30 15:54:42,afternoon,3,0,1,long,high,King Of Prussia,Restaurants,4,1,0
gZcxXnogU1O-gPTbqqtMYw,f4vbnGoGo3eWorVekctVGQ,5.0,2007-09-09 20:21:26,evening,6,1,1,medium,high,New Orleans,Restaurants,2,0,1
84HvpQDxcHWmbMDfs8IEYw,lRbHFOIFuusN2WOR_ypQ_A,3.0,2007-12-16 01:40:25,night,6,1,0,long,high,Philadelphia,Restaurants,2,0,0
84HvpQDxcHWmbMDfs8IEYw,piUZEndStsWNnRUwOPk8jA,4.0,2007-12-16 17:49:26,afternoon,6,1,0,medium,high,Philadelphia,Chinese,2,1,0
84HvpQDxcHWmbMDfs8IEYw,g2JHAYFX2tOJubMHSXdYQQ,3.0,2007-12-30 00:26:18,night,6,1,0,medium,high,Glenside,Bars,2,1,1
m-n_AHwndmHAgZIsu52kYA,J5-Y4ujpElrzPGJLYJ4tEg,3.0,2007-12-30 09:12:40,morning,6,1,1,medium,high,Reno,Restaurants,2,1,0
m-n_AHwndmHAgZIsu52kYA,l4aS1QVy_bGnwUXSJzpbsw,4.0,2007-12-30 10:02:05,morning,6,1,1,long,high,Sparks,Pizza,2,1,0
y8aWXOimQ9ZgUgZ6q--nCQ,dERS4qwl9v-Gwft-Ug8APA,5.0,2008-01-05 19:35:47,evening,5,1,1,long,high,Jenkintown,Restaurants,2,0,1
veU-4bglmxVg0PtkZRBETg,JgTSG4rIDf20Kgp6U_asng,5.0,2008-01-08 02:21:04,night,1,0,1,long,high,St. Louis,Pizza,2,1,0
ET3TgSSQ3shm2mj5vZ8IVQ,htO_nlxkEsYHzDrtbiUxew,2.0,2008-01-08 15:17:59,afternoon,1,0,1,long,high,Philadelphia,Restaurants,1,0,0
ET3TgSSQ3shm2mj5vZ8IVQ,N1ZXhAVzOzbyCBPEXTaUUw,2.0,2008-01-08 15:32:34,afternoon,1,0,1,medium,high,Philadelphia,Food Delivery Services,2,0,0
ET3TgSSQ3shm2mj5vZ8IVQ,bSWL0YxfawjS03_g2kgujA,3.0,2008-01-08 16:44:26,afternoon,1,0,1,medium,high,Philadelphia,Sandwiches,1,1,1
m-n_AHwndmHAgZIsu52kYA,q_CK-buoiPFNDoNNU1yb1A,4.0,2008-01-13 21:04:02,evening,6,1,1,medium,high,Reno,Food,2,0,1
kS1MQHYwIfD0462PE61IBw,Uy0r4bzRmY5LFtDfzNgkag,3.0,2008-01-14 06:53:39,night,0,0,1,short,high,University City,Mexican,2,1,0
xyFtRXaTjhStZB3Zb9uFvA,B10mqANgHvL8gBteo1UhAA,1.0,2008-01-15 03:47:48,night,1,0,1,medium,high,Tucson,Restaurants,2,1,1
ET3TgSSQ3shm2mj5vZ8IVQ,E1gf1YIWOo1BgzMUwJtEZg,3.0,2008-01-15 18:52:25,afternoon,1,0,1,medium,high,Philadelphia,Pizza,1,1,1
xyFtRXaTjhStZB3Zb9uFvA,1feuZITxuTrl9mr7V11kwQ,5.0,2008-01-15 23:00:17,evening,1,0,1,medium,high,Tucson,Coffee & Tea,1,0,1
xyFtRXaTjhStZB3Zb9uFvA,bXjnfT69E8DJinX-ifOofA,1.0,2008-01-15 23:34:38,evening,1,0,1,medium,high,Tucson,Chicken Wings,1,1,0
xyFtRXaTjhStZB3Zb9uFvA,W7NxQw8UYFR0HLPrI08tvw,1.0,2008-01-16 01:14:41,night,2,0,1,medium,high,Tucson,Restaurants,1,1,1
xyFtRXaTjhStZB3Zb9uFvA,SLreQZjicOqB_7MCfJ8MdQ,1.0,2008-01-16 01:17:33,night,2,0,1,short,high,Tucson,Restaurants,2,0,1
