business_id	hour_of_day	day_of_week	is_weekend	user_elite	review_length	user_experience	city	category	price_range	alcohol	outdoor_seating
1165tVWCcxFvYoHT1-I2mw	afternoon	0	0	1	long	high	Nashville	American (New)	3	1	0
11zDCUJyST50gMR4xVeAhg	afternoon	0	1	1	long	high	Reno	Vietnamese	2	1	0
12_YxEYiswleR_TMtxkuHg	evening	3	0	0	long	high	Edmonton	Donairs	2	0	0
13UbOVDFdxloxaient5XWA	evening	2	0	1	long	high	Santa Barbara	Wedding Planning	2	0	0
14ZGwnDyydXdSBsLXpSUrA	afternoon	0	0	1	long	high	Philadelphia	Vietnamese	2	1	1
151ujtgcbkGzAHUnctSg4w	evening	5	1	1	long	high	Edmonton	Event Planning & Services	2	1	1
16zHT7zp6K9IEQZ1oW6xXg	afternoon	0	0	0	medium	high	Glassboro	Pubs	2	1	1
17Y8circEnkMMXKfLo8Ztg	afternoon	4	0	1	long	high	Philadelphia	Restaurants	1	0	1
196CWwMAtAcA21jYiMyRzg	evening	1	0	0	medium	high	New Orleans	Restaurants	2	1	1
19fHbf0qzihtEtXQZ2ntww	afternoon	2	0	0	long	high	Wilmington	Nightlife	3	1	0
1CRaUspmxoegNBUnLkBAyA	night	3	0	0	long	high	Swansea	Chinese	1	0	0
1DFvkUjtsqNRNlORaUYlFQ	afternoon	0	0	1	long	high	Philadelphia	Modern European	2	1	0
1DkolDhbc0kydORZCIp7Fw	afternoon	4	0	1	long	high	Philadelphia	Food Stands	1	1	1
1ENdYUfYzDu9yyI3-MVklA	evening	1	0	1	medium	high	Philadelphia	Juice Bars & Smoothies	2	0	0
1Efad30BdOeqqjX2d6P4sw	afternoon	0	0	1	long	high	Palm Harbor	Vegan	2	1	0
1FURjeGJi_LBXcJQg8eskw	evening	3	0	1	medium	high	Carpinteria	American (Traditional)	2	1	1
1IjHo5kaSdFxJkJotU4O7A	night	2	0	1	long	high	Tampa	Restaurants	2	1	1
1JtpcHELRrSDoWS80WtzuQ	evening	4	0	0	long	high	Goodlettsville	Food	2	1	1
1LVMlrAQeqLgiwFu06kFfw	night	1	0	1	long	high	Edmonton	Restaurants	2	1	0
1MeIwdbTnZOBFCKOrgaxuw	evening	0	0	0	long	high	Saint Louis	American (New)	2	1	0
1NCUTTp6rIyXpwUDVv9qOA	afternoon	0	0	0	medium	high	Philadelphia	Pizza	1	0	0
1OgRJcJ2tsfkZn5tCjhNKg	evening	3	0	0	long	high	Media	American (Traditional)	1	1	1
1P4ojqt6KpyIppTeh6r3Dw	evening	5	1	1	medium	high	Westmont	Shopping	2	0	0
1P_mGUY1PyPq7_ZabrzpBw	evening	5	1	1	medium	high	Saint Louis	Italian	3	1	1
1Pxg1AMf0rEn9QF__ZYoWw	afternoon	2	0	1	long	high	Nashville	Japanese	2	1	0
1QVB0_-piu0GXes87BXeGw	evening	0	0	1	long	high	Safety Harbor	Hot Dogs	1	0	1
1QprdzNzcYKRcSTIfh5BGw	afternoon	1	0	1	long	high	Philadelphia	Tattoo	1	0	0
1QtF1bFgzG3Jo0-L4kv0Cg	afternoon	2	0	0	medium	high	Indianapolis	Restaurants	1	0	0
1SwfAYI1HGDyJKHmdRXI5Q	afternoon	2	0	1	medium	high	Indianapolis	Burgers	1	1	0
1T9F7iLDFAYWJvif1RKneg	afternoon	6	0	1	long	high	Indianapolis	Restaurants	2	1	0
1UNorskttXSWuEcgzKzXcA	evening	0	0	1	long	high	Philadelphia	Lounges	3	1	1
1Ye_elsSB-XjKgWAHDwPbw	afternoon	2	0	0	medium	high	New Castle	Restaurants	2	1	0
1YfILky5n_7V3MHs8gzwMw	afternoon	0	0	1	medium	high	New Orleans	Food	2	0	0
1_hDCN3iioFR3XnUr32ZtA	afternoon	0	0	1	long	high	Saint Petersburg	Fast Food	1	1	1
1aZFm_mhhxIoAdeRBMJ7Tg	night	1	0	1	long	high	Hatboro	Food	1	0	0
1aps22WlhV4bHPaEQZxkKQ	afternoon	2	0	0	medium	high	Saint Louis	American (Traditional)	2	1	1
1bJxvwuMTyXmQGu90WLPhA	afternoon	0	0	1	long	high	St Charles	Seafood	2	1	1
1ddqdY_piKp-abaZ-bGRSA	evening	5	1	0	long	high	New Orleans	Steakhouses	3	1	0
1feuZITxuTrl9mr7V11kwQ	night	1	0	1	long	high	Tucson	Coffee & Tea	1	0	1
1gWUE5Avh_pswlHhf813EQ	afternoon	0	0	1	long	high	Greenwood	Restaurants	1	1	0
1ig2AJg8A08_XA3pFAMiRQ	afternoon	4	0	0	long	high	Franklin	Steakhouses	3	1	0
1l5AyvTM4ZTeOVuFxadizA	night	5	0	1	long	high	Clearwater	Sandwiches	2	1	1
1lC4dy6jlB2tBdBWbocO7Q	night	5	1	1	medium	high	Largo	Restaurants	1	1	1
1lXdhiMNyUxtBlEAeRYCvQ	evening	4	0	1	medium	high	Franklin	Restaurants	2	0	1
1pkuCWlH3iEuUAQVHpIuHQ	afternoon	1	0	1	long	high	Philadelphia	Cantonese	1	0	0
1rLip0b2JU4Golydi7rS5g	evening	5	1	0	medium	high	Conshohocken	Restaurants	1	0	0
1skzWN0fxGgZNRE53Y_3gw	evening	2	0	1	medium	high	Saint Louis	Breweries	2	0	0
1w1H1kYUN60zpfdP-0qmGQ	afternoon	4	0	0	medium	high	Philadelphia	Restaurants	1	0	0
25btSWnOGwwB2IQMXF7A-A	afternoon	0	1	1	medium	high	Wilmington	Grocery	2	0	0
2A35Yi7mHQu9uT61M7VQow	afternoon	6	1	1	long	high	Nashville	Restaurants	1	1	0
2AYNaQcQcR1UqIt7TOpOhg	afternoon	4	0	1	medium	high	Edmonton	Food Delivery Services	2	0	0
2Cd4sRn-dI0OkoLxmTi3bg	evening	3	0	0	long	high	Tampa	Breakfast & Brunch	2	1	1
2D4xIM1ahHTQa6iV4m3p9Q	afternoon	6	1	1	medium	high	Philadelphia	Juice Bars & Smoothies	1	1	0
2FnoLyEO0nq7g2Wz8x7Z5A	evening	3	0	1	long	high	Bala Cynwyd	Juice Bars & Smoothies	2	0	1
2GYg3liJ9-m6Z67L_4_BRQ	afternoon	0	0	1	long	high	Philadelphia	Pets	2	0	0
2H27tAaTNGaq3gYuG3HV5A	afternoon	0	0	1	long	high	Harahan	Restaurants	2	1	0
2J6x5uYTXbJzTHbQN1W6eA	afternoon	6	1	1	long	high	Saint Louis	Coffee & Tea	1	0	1
2KIDQyTh-HzLxOUEDqtDBg	evening	1	0	1	long	high	Saint Petersburg	Specialty Food	2	1	0
2PFkue1wjcpxW-oHHebG5g	afternoon	4	0	1	long	high	Conshohocken	Japanese	2	0	0
2Q1R2OhBbAQ581vK_r7NhA	evening	0	0	1	medium	high	Willow Grove	Sushi Bars	2	0	0
2QWJsN0yk0FkkSUO_xVMKw	evening	1	0	1	long	high	Saint Louis	Pizza	2	1	0
2SYEGA2fZLdzZQ9lmIfM5Q	night	3	0	0	long	high	Philadelphia	American (New)	2	1	1
2UGuPfS6W6pnnPBrLr3Vag	morning	2	0	0	long	high	East Norriton	Food	2	0	0
2W0P6hXCbE6EgP5R6y9eBw	afternoon	0	0	1	long	high	Indianapolis	Pizza	2	1	0
2W7n0OxSfwseTHcJT8aLFw	night	2	0	0	long	high	Voorhees	Food	2	0	0
2XYPFRm7teCUr3eGsB2-qw	afternoon	3	0	1	long	high	Blue Bell	Thai	2	0	1
2brttsiFBlW8070dsPzQDA	afternoon	0	0	1	long	high	Indianapolis	Breakfast & Brunch	2	0	1
2cpdYwMOeKQtiMDvm39nKg	evening	5	1	1	long	high	Tucson	Burgers	2	1	0
2dlQX5sP9X6Dlm1MmNOlSw	night	0	0	1	medium	high	Philadelphia	Food	1	0	1
2er_V-oAd7IbQ5YTY56r7A	afternoon	4	0	1	long	high	Philadelphia	Restaurants	2	1	1
2fTfpN5SggLgW4LlzptMPg	afternoon	0	0	1	long	high	Edmonton	Nightlife	3	1	1
2gSywqDgDg97hT3ZOM-AIQ	morning	1	0	1	medium	high	Indianapolis	Restaurants	2	0	1
2iQucreJtTqbEsLczhsgrA	evening	1	0	0	long	low	Indianapolis	Indian	2	1	0
2jvmqojTdrdj3YboXzKRcw	evening	3	0	0	long	high	Exton	Restaurants	2	1	0
2kOGFDJ9v4T9AzuKWhwl2g	afternoon	2	0	1	medium	high	Metairie	Food	1	1	1
2kuhZOrWcLYe_XePccr4lA	afternoon	2	0	1	long	high	Tampa	Restaurants	2	1	1
2nUzpVFZVyGoD-RVhz-1KA	afternoon	0	0	1	long	high	Kirkwood	Burgers	2	1	1
2rQFgavS-942RapZTBSBTw	afternoon	5	0	1	long	high	Bryn Mawr	Italian	2	1	1
2tg6sMQr9rrXVXmgrqBYmg	morning	1	0	1	long	high	Saint Petersburg	Pubs	2	1	0
2wEnpf2eu98rcYc540UN3Q	night	1	0	1	long	high	Tucson	Restaurants	1	1	1
2wwhMKlfpOd0dpk_AQdt8w	morning	3	0	1	medium	high	New Orleans	Nightlife	3	1	1
2x3wM06LEbaAR81AeKk44w	evening	0	0	1	long	high	Saint Louis	Pizza	2	0	1
2xVsWBNFwZOxIOdd9Mwnww	afternoon	5	1	1	medium	high	Exton	Restaurants	2	1	1
2zocwC7qMq3LsivPn9Z-Eg	afternoon	1	0	1	medium	high	Wayne	Restaurants	1	0	0
33JlrWf0kmHd2VzW58Wp0g	afternoon	4	0	1	long	high	Saint Louis	Bars	2	1	1
34Eqv8jXgxg_EEwcsNgeeg	night	0	0	0	long	high	Santa Barbara	Health Markets	2	0	1
35GCFtezJ3upyqGf-zJ8MA	evening	0	0	1	medium	high	St. Petersburg	Food	2	1	0
37BpNvlEAT6WVGsksrHbBQ	night	0	0	0	long	high	Nashville	Sushi Bars	2	1	1
37yDMpWI6HBO2iW8slv7_Q	afternoon	1	0	1	long	high	University City	Juice Bars & Smoothies	1	0	1
3BJxm-HnvzdwD1zjmSbmyQ	afternoon	2	0	1	long	high	Philadelphia	Restaurants	1	0	0
3C9l3PNoadQ9U2JEb-Qtpg	evening	0	0	1	long	high	Carmel	Restaurants	2	1	1
3CYCAfxR4aoNb7gCIsN8pg	evening	1	0	1	medium	high	St. Petersburg	Convenience Stores	2	0	0
3CsBRtDT5WOUu8IY0mHhXw	night	5	0	1	long	high	Philadelphia	Pizza	1	0	1
3ICKvnjPqlnelsJ-WJntmw	evening	0	0	1	long	high	Saint Louis	Asian Fusion	2	1	1
3JwRFu53hgEisf_SRBPIew	afternoon	4	0	1	long	high	Glassboro	Food	2	0	0
3OGzmGqWwsyGLkhnxrA9Pw	evening	0	0	1	long	high	Tampa	Pizza	2	1	0
3PlpoDgeAQAreL8FM2LelA	evening	2	0	0	long	high	Reno	Sushi Bars	2	1	0
3Ry5aKcMuTdp9m1E7n_WiA	evening	4	0	0	long	high	King of Prussia	Food	2	1	0
3SHw4aZW_muE1kRSLQQjjA	afternoon	0	0	0	medium	high	TAMPA	Breakfast & Brunch	1	1	0
3VKE0_-KhU_qMYHxcyVcDg	afternoon	5	1	0	medium	high	Philadelphia	Seafood	2	0	0
3WfH4I8OmHMjTIFhPgh4Tw	night	1	0	1	long	high	Tampa	Bakeries	2	0	0
3Yogz58lIto-kceF2y-THg	afternoon	0	0	0	long	high	Edmonton	Chinese	2	0	0
3Z59UMun90xRiSU1XX8rhQ	afternoon	3	0	1	long	high	Huntingdon Valley	Food	2	0	0
3ZynJ94VpIdDlaArmEp2Rg	night	1	0	1	long	high	Philadelphia	Food	2	0	1
3_kZ2pDiKJLZ9kGKKOWqdA	afternoon	0	0	1	medium	high	Eddystone	Restaurants	1	0	0
3_y-iyx2kXmhdgVOZHvm4g	night	2	0	1	medium	high	Yardley	Grocery	3	0	0
3c9TiufCFT2yXXj3R08Vwg	afternoon	2	0	1	long	high	Plant City	Southern	1	1	0
3gTZAOmML02T1L5gYIHYqQ	night	1	0	1	long	high	Edmonton	Middle Eastern	2	0	0
3kFs_QlJ64oZ2qPu0WqaWw	night	3	0	0	long	high	Lutz	Food	1	0	1
3kiB39JzdovdlOhQj-nMCw	afternoon	1	0	1	long	high	Philadelphia	Restaurants	1	1	0
3l5bv6_5WNc4NtMiTOESSw	morning	2	0	1	long	high	West Chester	Beer	2	0	0
3lBooCffgkW7tVSG5kILBA	afternoon	4	0	1	long	high	Philadelphia	Restaurants	2	0	0
3ld-M9oahBBBBaSPm-zXnw	night	6	1	1	medium	high	New Orleans	Nightlife	2	1	0
3m72qrDirMZDOhaG3FR6HQ	night	4	0	1	long	high	Voorhees Township	Restaurants	1	0	1
3sdlpskDaXr1P59BYjGoFw	afternoon	6	1	1	long	high	Philadelphia	Burgers	1	0	0
3uvFklejzRPwEPEZQ5vHYQ	evening	4	0	1	long	high	Media	Delis	2	0	0
3wogQmKw729tKKWaVbZvbg	evening	2	0	1	medium	high	New Orleans	Herbs & Spices	2	0	1
3y61A28PQDZ4weeeTRfIlA	afternoon	1	0	1	long	high	Indianapolis	Restaurants	2	1	1
3yI-7C8JzbG-ZaSqAGHMAQ	evening	0	0	1	medium	high	Tampa	Restaurants	1	0	0
3yJYL99Dmq0ofHkcqyPtjw	night	1	0	1	long	high	Kenner	Sandwiches	1	1	0
4-y4Jj8hNuVIFktoYnm3-Q	evening	5	1	1	long	high	Indianapolis	Pizza	1	0	1
45siW2fI0Cuv5ZKCS23knA	evening	2	0	1	long	high	Saint Petersburg	Local Flavor	2	0	1
45tvAZaoMo0VhsJvPHf9sw	evening	3	0	0	long	high	Philadelphia	Ice Cream & Frozen Yogurt	1	0	0
46_2e1hnQ4csLrYnhn6bkw	night	2	0	0	long	high	Philadelphia	Restaurants	2	1	1
4BVjCMSKc4eJGfJldPB_hA	afternoon	3	0	1	long	high	Edmonton	Restaurants	2	1	0
4DVN5Uun3i-nmTIIOBhHog	evening	6	0	1	long	high	Tampa	Caterers	2	0	1
4FhRbipPKfjk9absHHrfaA	evening	4	0	0	long	high	Clearwater	Restaurants	2	1	1
4Hyfm0Ly3yo96RJTVShTIA	evening	0	0	0	long	high	St. Petersburg	American (Traditional)	2	1	0
4JQ0hePJAlBepDzb20_32g	night	1	0	1	long	high	Ruskin	Nightlife	2	1	1
4LuzS6VevvwSmB71KbGyVQ	afternoon	1	0	1	medium	high	Mount Juliet	American (Traditional)	1	0	0
4MbKIpdVPz4OkoyS24fEEg	evening	5	1	0	medium	high	Seminole	Restaurants	2	0	0
4NidY2tw42l6iobbtai_kA	evening	1	0	1	medium	high	New Orleans	Tapas/Small Plates	2	1	0
4PfDVXUiHTslBmKpp1Ckiw	afternoon	6	1	1	long	high	Nashville	Breakfast & Brunch	1	1	0
4RMHlggaIdNibPUJPVEd6w	afternoon	6	1	1	long	high	Philadelphia	American (New)	2	1	1
4SQ5uczVt66-GGGeNQRfEA	afternoon	6	0	0	long	high	Philadelphia	Nightlife	2	1	1
4S_yN5o0EvXvV6GNvesTKw	evening	5	1	0	medium	high	Philadelphia	Restaurants	2	1	0
4SneIG3-02kRCgQx-hu51Q	afternoon	2	0	1	long	high	Langhorne	Steakhouses	2	1	0
4TQMOy00KD_54xSFwKgMZw	night	6	1	0	medium	high	Philadelphia	Restaurants	2	0	1
4WdDY97x4GdMYtyk1KQMnw	evening	3	0	1	long	high	New Orleans	Cafes	2	0	0
4ZVApGFcZ-mPVGKqZWRqvg	night	6	1	1	medium	high	New Orleans	Chicken Wings	1	0	0
4_W5pstoN1166TGjjPOrMg	evening	0	0	1	long	high	Philadelphia	American (Traditional)	2	1	1
4cK4FDxVNZxGDK-TFHzw5g	afternoon	6	1	1	long	high	Glenolden	Fast Food	1	0	0
4dJedd_98CQJCKTEu1BkEQ	night	3	0	1	short	high	Franklin	Meat Shops	1	0	0
4dVrWc4Nhuw9apfk9BWEcA	night	3	0	1	medium	high	Tarpon Springs	Grocery	2	0	0
4fQPIhCh2bUJBZcxQlLGFQ	evening	5	1	1	long	high	Carmel	Buffets	1	0	0
4fUok5d5vgdQEb1Bzzg0rA	night	0	0	0	medium	high	Kenner	Restaurants	2	1	0
4iTsgayXGV8zYppognuQXg	night	4	0	1	long	high	Radnor	Food	2	0	0
4ib9kGHlwqWPalWjh-dZhQ	night	4	0	0	long	high	Palm Harbor	Restaurants	2	0	0
4oh1vo3mQwhJ7lC3gtw73w	evening	0	0	1	medium	high	Nashville	Active Life	2	0	0
4pttw53YrhH253K15D9_wg	afternoon	4	0	1	medium	high	Tucson	Fast Food	1	0	1
4puDEkq0E27Nrq5nQiVqzg	evening	3	0	1	long	high	Indianapolis	Restaurants	1	0	0
4s4KAGJgtpZn9cgtdWcOmw	afternoon	1	0	1	long	high	Indianapolis	Food	1	0	0
4sLW6iLkh5ELw0XvuwGyrA	evening	0	0	1	long	high	Bensalem	Venues & Event Spaces	3	1	0
4ulvTVp4_eXb3XVMrXfRyQ	afternoon	5	1	1	long	high	St Petersburg	Event Planning & Services	2	1	1
4xEJiEQERBvr2jAZQSeF2g	evening	2	0	1	long	high	Saint Louis	Tapas/Small Plates	2	1	1
50TGaB-hcv4R3QiWUmIP_w	afternoon	0	0	1	medium	high	Indianapolis	Indian	2	1	0
53A7Yne_S_KizF3i-sDzgg	night	4	0	1	long	high	Nashville	Restaurants	3	1	1
54XgUhaR0kDqw8bgbAEAtg	afternoon	2	0	1	long	high	Metairie	Seafood	2	1	1
56q_auFAzhHK9Dvrs03AVA	evening	6	1	1	long	high	Indianapolis	Breweries	2	0	0
