hour_of_day	day_of_week	is_weekend	review_length	user_elite	city	category	price_range	context_id
afternoon	2	0	medium	1	Indianapolis	Bars	2	81
afternoon	3	0	long	1	Tucson	Restaurants	1	82
afternoon	5	1	short	0	Reno	Restaurants	2	83
afternoon	0	0	medium	0	Reno	Cafes	2	84
afternoon	6	1	short	1	Indianapolis	Bars	1	85
afternoon	0	0	long	0	New Orleans	Restaurants	3	86
evening	3	0	long	0	Goleta	Burgers	1	87
evening	2	0	medium	1	New Orleans	Specialty Food	2	88
night	2	0	medium	0	New Orleans	Breakfast & Brunch	2	89
morning	4	0	long	1	Philadelphia	Food	3	90
morning	3	0	medium	1	Indianapolis	Breakfast & Brunch	1	91
evening	0	0	long	1	Philadelphia	Restaurants	1	92
morning	0	0	long	1	Tucson	Restaurants	2	93
afternoon	0	0	long	1	Nashville	Restaurants	1	94
afternoon	2	0	medium	1	Tucson	Restaurants	2	95
night	3	0	long	1	Philadelphia	Restaurants	1	96
afternoon	6	1	short	1	Downingtown	Restaurants	1	97
morning	4	0	short	1	Philadelphia	Bars	1	98
evening	5	1	medium	1	New Orleans	Dive Bars	1	99
afternoon	2	0	long	1	Philadelphia	Wine Bars	3	100
night	1	0	long	1	Philadelphia	Food	1	101
night	2	0	medium	0	Reno	Restaurants	2	102
night	6	1	long	1	Nashville	Bars	2	103
night	2	0	medium	1	Saint Louis	Pizza	1	104
afternoon	0	0	long	1	Tarpon Springs	Food	2	105
morning	2	0	long	1	Reno	Fast Food	1	106
afternoon	6	1	long	1	St. Louis	Restaurants	2	107
afternoon	1	0	long	0	Edmonton	Food	1	108
night	6	1	medium	1	New Orleans	Restaurants	2	109
night	0	0	short	1	Boise	Specialty Food	1	110
night	0	0	medium	0	New Orleans	Restaurants	2	111
evening	3	0	long	1	Reno	Food	1	112
afternoon	0	0	long	1	Indianapolis	Bars	2	113
night	3	0	medium	1	Brandon	Restaurants	2	114
night	3	0	long	1	Santa Barbara	Restaurants	2	115
evening	6	1	long	0	New Orleans	Bars	2	116
night	4	0	medium	1	Indianapolis	Restaurants	3	117
morning	1	0	long	1	Clearwater Beach	Bars	2	118
afternoon	4	0	long	1	Saint Louis	Wine Bars	3	119
morning	6	1	long	1	New Orleans	Food	1	120
afternoon	0	0	medium	1	Philadelphia	Burgers	2	121
afternoon	2	0	long	1	Nashville	Restaurants	2	122
evening	1	0	long	1	Metairie	Breakfast & Brunch	2	123
evening	6	1	long	1	Santa Barbara	Restaurants	2	124
afternoon	4	0	long	1	Saint Louis	Food	1	125
night	1	0	short	0	Tucson	Restaurants	2	126
evening	5	1	short	1	Indianapolis	Restaurants	2	127
evening	2	0	long	1	Philadelphia	Bars	3	128
afternoon	0	0	medium	1	New Orleans	Pizza	1	129
afternoon	4	0	medium	0	New Orleans	Restaurants	2	130
afternoon	5	1	long	0	Philadelphia	Food	2	131
evening	2	0	medium	1	New Orleans	Restaurants	1	132
evening	0	0	long	1	Philadelphia	Food	2	133
night	3	0	medium	1	Tucson	Restaurants	1	134
night	2	0	long	1	Reno	Restaurants	1	135
night	1	0	long	1	Philadelphia	Restaurants	1	136
evening	1	0	long	1	Philadelphia	Bars	2	137
night	2	0	long	0	Conshohocken	Restaurants	3	138
afternoon	3	0	medium	1	Philadelphia	Restaurants	1	139
evening	1	0	medium	1	New Orleans	Restaurants	2	140
afternoon	0	0	medium	0	New Orleans	Coffee & Tea	2	141
night	2	0	medium	1	Santa Barbara	Coffee & Tea	2	142
afternoon	2	0	long	1	Reno	Food	2	143
night	5	1	long	1	Philadelphia	Sushi Bars	2	144
evening	1	0	medium	1	Tucson	Coffee & Tea	1	145
afternoon	5	1	long	1	Saint Louis	Food	2	146
night	1	0	medium	1	New Orleans	Cafes	2	147
night	3	0	medium	0	Reno	Cafes	2	148
afternoon	4	0	medium	1	Philadelphia	Burgers	2	149
evening	4	0	medium	1	Santa Barbara	Restaurants	3	150
afternoon	1	0	long	1	New Hope	Food	2	151
night	3	0	long	0	Philadelphia	Restaurants	2	152
night	5	1	long	0	Santa Barbara	Wine Bars	2	153
morning	4	0	long	1	Edmonton	Restaurants	2	154
evening	6	1	medium	1	Levittown	Restaurants	1	155
afternoon	5	1	long	0	Metairie	Food	2	156
night	5	1	long	1	Saint Louis	Restaurants	2	157
afternoon	2	0	long	0	St. Louis	Pizza	2	158
evening	4	0	long	1	Philadelphia	Restaurants	1	159
evening	3	0	medium	0	New Orleans	Restaurants	1	160
night	5	1	long	1	New Orleans	Restaurants	2	161
evening	0	0	medium	0	Santa Barbara	Sushi Bars	3	162
afternoon	4	0	medium	1	Philadelphia	Food	1	163
night	3	0	long	1	New Orleans	Bars	2	164
night	2	0	long	1	New Orleans	Restaurants	2	165
night	6	1	medium	1	Tucson	Restaurants	2	166
afternoon	6	1	medium	1	Tampa	Food	3	167
afternoon	2	0	long	1	Nashville	Restaurants	1	168
night	3	0	short	0	Philadelphia	Restaurants	1	169
evening	2	0	long	1	Tampa	Restaurants	1	170
evening	2	0	medium	1	Reno	Restaurants	2	171
afternoon	6	1	long	1	Philadelphia	Restaurants	2	172
night	4	0	short	1	Philadelphia	Food	2	173
afternoon	1	0	medium	0	Philadelphia	Food	1	174
evening	6	1	long	1	Philadelphia	Restaurants	2	175
afternoon	0	0	short	0	Philadelphia	Food	2	176
evening	3	0	long	1	Saint Louis	Restaurants	2	177
afternoon	2	0	long	0	Langhorne	Restaurants	2	178
afternoon	1	0	long	1	New Orleans	Restaurants	2	179
afternoon	6	1	short	0	New Orleans	Sports Bars	1	180
evening	6	1	short	0	Philadelphia	Restaurants	1	181
night	3	0	long	1	Tucson	Restaurants	1	182
afternoon	0	0	medium	1	Indianapolis	Restaurants	2	183
evening	2	0	long	1	New Orleans	Restaurants	3	184
evening	6	1	long	1	Philadelphia	Restaurants	3	185
night	3	0	medium	1	Philadelphia	Bars	2	186
night	6	1	long	0	Nashville	Restaurants	3	187
night	0	0	long	1	Philadelphia	Bars	2	188
evening	4	0	medium	1	Saint Louis	Food	2	189
morning	0	0	long	1	Reno	Restaurants	1	190
night	2	0	medium	0	Philadelphia	Bars	2	191
evening	0	0	long	1	Clearwater Beach	Bars	2	192
night	1	0	medium	0	Philadelphia	Restaurants	2	193
night	2	0	medium	0	Goleta	Fast Food	2	194
afternoon	0	0	long	1	Blackwood	Burgers	2	195
afternoon	1	0	medium	0	New Orleans	Restaurants	3	196
evening	4	0	short	0	Clearwater Beach	Bars	2	197
night	1	0	long	0	Santa Barbara	Sushi Bars	3	198
night	5	1	long	1	St. Petersburg	Restaurants	3	199
night	6	1	short	0	Tucson	Burgers	2	200
night	2	0	long	1	New Orleans	Coffee & Tea	2	201
morning	6	1	long	0	Philadelphia	Restaurants	1	202
evening	4	0	long	1	Tarpon Springs	Food	2	203
night	2	0	long	1	Edmonton	Food	2	204
evening	3	0	long	1	Philadelphia	Restaurants	2	205
night	2	0	medium	1	Philadelphia	Cocktail Bars	3	206
night	5	1	medium	1	Clearwater	Cafes	3	207
afternoon	3	0	medium	1	Clearwater Beach	Bars	2	208
night	0	0	long	1	Tucson	Restaurants	2	209
evening	6	1	short	1	New Orleans	Restaurants	3	210
evening	6	1	long	1	Edmonton	Restaurants	2	211
evening	6	1	short	1	Saint Louis	Sushi Bars	2	212
evening	2	0	medium	1	Nashville	Restaurants	1	213
evening	3	0	long	1	West Chester	Breakfast & Brunch	1	214
evening	2	0	medium	1	Nashville	Coffee & Tea	2	215
evening	6	1	long	0	Nashville	Restaurants	2	216
afternoon	4	0	long	1	Philadelphia	Restaurants	2	217
night	1	0	long	1	Tampa	Bars	3	218
evening	0	0	long	1	Edmonton	Restaurants	3	219
evening	2	0	long	1	Philadelphia	Coffee & Tea	1	220
morning	1	0	medium	0	Philadelphia	Restaurants	2	221
evening	2	0	long	0	Thorndale	Restaurants	2	222
afternoon	2	0	long	0	Saint Louis	Food	1	223
night	5	1	short	1	Santa Barbara	Food	2	224
evening	1	0	medium	1	St. Louis	Pizza	2	225
afternoon	4	0	long	1	Springfield	Restaurants	1	226
afternoon	2	0	short	1	Saint Louis	Tapas Bars	2	227
evening	2	0	medium	0	Santa Barbara	Bars	2	228
night	0	0	long	0	Santa Barbara	Pizza	1	229
evening	1	0	long	1	Philadelphia	Specialty Food	3	230
night	1	0	long	1	Saint Louis	Wine Bars	2	231
evening	2	0	long	1	Philadelphia	Pizza	1	232
afternoon	2	0	long	1	Wayne	Restaurants	2	233
afternoon	2	0	medium	1	Haddonfield	Food	1	234
night	5	1	long	0	New Orleans	Restaurants	2	235
afternoon	2	0	short	0	Lansdale	Restaurants	1	236
afternoon	4	0	long	1	Philadelphia	Restaurants	1	237
morning	2	0	long	1	New Orleans	Restaurants	2	238
afternoon	3	0	long	1	Tucson	Food	2	239
evening	6	1	short	1	New Orleans	Food	2	240
night	0	0	medium	0	Reno	Restaurants	2	241
afternoon	3	0	medium	1	Saint Louis	Barbers	2	242
evening	0	0	medium	0	Philadelphia	Restaurants	2	243
night	2	0	medium	1	Santa Barbara	Restaurants	1	244
afternoon	5	1	medium	0	Cherry Hill	Restaurants	2	245
morning	6	1	medium	0	Santa Barbara	Restaurants	2	246
afternoon	4	0	medium	1	Saint Louis	Wine Bars	2	247
afternoon	2	0	long	1	Philadelphia	Specialty Food	1	248
night	2	0	long	1	Boise	Specialty Food	1	249
night	1	0	long	1	Primos	Coffee & Tea	1	250
afternoon	6	1	long	1	Goleta	Restaurants	2	251
afternoon	1	0	long	1	Saint Louis	Burgers	2	252
afternoon	6	1	long	1	Chesterfield	Restaurants	1	253
night	5	1	long	0	Reno	Restaurants	2	254
night	5	1	long	1	Saint Louis	Food	2	255
night	4	0	short	1	Goleta	Restaurants	1	256
night	6	1	medium	1	Philadelphia	Restaurants	1	257
afternoon	4	0	short	1	Indianapolis	Restaurants	2	258
evening	1	0	long	1	Philadelphia	Restaurants	1	259
night	1	0	long	0	New Orleans	Restaurants	2	260
night	4	0	long	1	Philadelphia	Bars	1	261
evening	6	1	short	0	New Orleans	Barbeque	2	262
evening	6	1	medium	0	Reno	Food	2	263
evening	2	0	long	1	New Orleans	Coffee & Tea	1	264
night	2	0	long	1	Tucson	Restaurants	2	265
night	6	1	long	0	Mount Ephraim	Restaurants	2	266
evening	1	0	medium	0	Tampa	Restaurants	2	267
night	0	0	short	1	New Orleans	Bars	2	268
evening	6	1	long	1	Philadelphia	Breakfast & Brunch	2	269
afternoon	3	0	medium	1	Indianapolis	Bars	2	270
evening	2	0	long	1	O Fallon	Restaurants	2	271
afternoon	5	1	long	1	Philadelphia	Bars	2	272
night	2	0	long	1	Philadelphia	Restaurants	2	273
night	2	0	short	0	Philadelphia	Restaurants	1	274
night	4	0	long	0	Saint Louis	Bars	1	275
night	3	0	long	1	Nashville	Sushi Bars	2	276
afternoon	2	0	long	1	Indianapolis	Restaurants	2	277
night	2	0	short	0	Cherry Hill	Specialty Food	3	278
afternoon	3	0	long	1	Philadelphia	Restaurants	1	279
afternoon	2	0	medium	1	Metairie	Restaurants	1	280
afternoon	5	1	long	1	Bryn Mawr	Pizza	2	281
evening	4	0	long	1	Nashville	Restaurants	1	282
night	3	0	long	1	Newark	Restaurants	1	283
afternoon	5	1	short	0	New Orleans	Bars	2	284
afternoon	6	1	long	0	Tampa	Pizza	2	285
evening	4	0	long	1	Philadelphia	Restaurants	3	286
afternoon	3	0	long	1	Nashville	Restaurants	2	287
night	0	0	long	1	Bryn Mawr	Pizza	2	288
night	4	0	long	1	Saint Louis	Tapas Bars	2	289
night	3	0	short	0	Franklin	Barbeque	1	290
evening	4	0	medium	1	New Orleans	Breakfast & Brunch	2	291
night	0	0	medium	1	Willow Grove	Sushi Bars	2	292
evening	6	1	short	1	Reno	Restaurants	2	293
evening	1	0	long	1	Saint Petersburg	Specialty Food	2	294
evening	4	0	short	1	New Orleans	Specialty Food	2	295
morning	1	0	long	1	Nashville	Restaurants	2	296
evening	4	0	long	1	Nashville	Food	2	297
night	0	0	long	1	Philadelphia	Breakfast & Brunch	2	298
night	4	0	medium	1	Nashville	Sports Bars	2	299
evening	4	0	long	0	Tampa	Pizza	1	300
night	1	0	long	1	Fairview Heights	Comfort Food	2	301
afternoon	4	0	long	1	Philadelphia	Food	1	302
night	3	0	medium	1	New Orleans	Restaurants	2	303
afternoon	0	0	long	0	Santa Barbara	Bed & Breakfast	2	304
night	5	1	long	0	Santa Barbara	Restaurants	2	305
afternoon	1	0	long	1	Saint Louis	Restaurants	2	306
night	6	1	long	0	Saint Louis	Food	2	307
evening	6	1	long	0	Saint Louis	Restaurants	2	308
afternoon	1	0	long	1	New Orleans	Food	2	309
night	0	0	medium	1	Goleta	Restaurants	1	310
afternoon	4	0	long	1	Nashville	Restaurants	1	311
evening	2	0	long	1	St Louis	Sushi Bars	2	312
evening	3	0	long	1	Philadelphia	Bars	2	313
evening	6	1	medium	1	Philadelphia	Restaurants	2	314
afternoon	6	1	long	1	Saint Louis	Food	2	315
afternoon	1	0	short	0	Philadelphia	Restaurants	3	316
afternoon	1	0	short	1	Tampa	Coffee & Tea	1	317
evening	6	1	short	1	Philadelphia	Restaurants	2	318
afternoon	6	1	medium	0	Nashville	Burgers	2	319
afternoon	0	0	medium	1	Eddystone	Restaurants	1	320
afternoon	5	1	long	1	Clearwater	Cafes	3	321
afternoon	6	1	long	0	Ardmore	Restaurants	2	322
afternoon	1	0	medium	1	Santa Barbara	Restaurants	2	323
night	4	0	medium	0	Philadelphia	Restaurants	1	324
night	0	0	long	1	Tucson	Restaurants	3	325
night	5	1	long	0	Nashville	Sushi Bars	2	326
night	4	0	long	1	Indianapolis	Restaurants	2	327
night	0	0	long	1	Edmonton	Restaurants	3	328
afternoon	2	0	long	1	Indianapolis	Food	2	329
night	3	0	medium	0	Newtown	Food	2	330
afternoon	6	1	medium	1	New Orleans	Restaurants	2	331
evening	5	1	medium	0	Saint Louis	Bars	1	332
night	3	0	medium	1	Brandon	Bars	2	333
afternoon	0	0	long	1	Marlton	Food	2	334
afternoon	4	0	long	1	Indianapolis	Restaurants	1	335
afternoon	2	0	medium	1	Dunedin	Bars	2	336
night	3	0	medium	1	New Orleans	Specialty Food	2	337
afternoon	1	0	long	1	University City	Juice Bars & Smoothies	1	338
afternoon	4	0	long	1	Saint Louis	Pizza	1	339
afternoon	1	0	long	0	Philadelphia	Sushi Bars	2	340
afternoon	6	1	long	1	Tucson	Sports Bars	2	341
evening	2	0	long	0	Saint Louis	Burgers	2	342
evening	5	1	long	0	Reno	Restaurants	1	343
night	3	0	long	1	North Wales	Restaurants	2	344
afternoon	4	0	short	0	Willow Grove	Sushi Bars	2	345
afternoon	5	1	long	0	New Orleans	Restaurants	2	346
evening	5	1	long	1	New Orleans	Bars	2	347
morning	2	0	short	0	Washington Crossing	Restaurants	2	348
afternoon	4	0	medium	1	Philadelphia	Restaurants	2	349
afternoon	0	0	medium	1	Clearwater Beach	Bars	2	350
afternoon	5	1	long	1	St. Petersburg	Restaurants	1	351
evening	5	1	long	0	Philadelphia	Restaurants	2	352
afternoon	1	0	long	1	West Chester	Restaurants	2	353
night	1	0	long	1	Nashville	Food	1	354
night	5	1	long	1	Tucson	Bars	1	355
afternoon	2	0	short	0	New Orleans	Dive Bars	1	356
night	2	0	long	1	Indianapolis	Bars	2	357
afternoon	1	0	medium	0	Santa Barbara	Bars	2	358
evening	5	1	medium	1	Indianapolis	Food	2	359
afternoon	4	0	long	1	Philadelphia	Bars	2	360
night	5	1	long	1	New Orleans	Food	1	361
night	1	0	long	1	Saint Louis	Breakfast & Brunch	2	362
night	0	0	short	1	Reno	Food	3	363
evening	4	0	long	1	Philadelphia	Pizza	2	364
afternoon	4	0	long	0	Philadelphia	Restaurants	3	365
afternoon	4	0	medium	1	St. Louis	Pizza	2	366
afternoon	1	0	long	1	Saint Louis	Pizza	2	367
evening	2	0	short	0	Kenner	Bars	2	368
evening	1	0	medium	1	Saint Louis	Restaurants	2	369
night	3	0	medium	1	Philadelphia	Food	1	370
afternoon	0	0	short	1	Philadelphia	Food	2	371
evening	1	0	long	1	Saint Louis	Bars	2	372
night	0	0	long	1	Metairie	Food	1	373
evening	1	0	short	0	Haddon Township	Restaurants	1	374
afternoon	2	0	long	1	Reno	Bars	2	375
afternoon	2	0	long	1	West Chester	Pizza	2	376
evening	1	0	medium	1	Nashville	Barbeque	2	377
evening	6	1	short	0	King of Prussia	Food	2	378
afternoon	4	0	long	1	Brentwood	Restaurants	2	379
afternoon	5	1	long	1	Marlton	Restaurants	2	380
afternoon	2	0	long	0	Santa Barbara	Food	2	381
evening	6	1	long	1	New Orleans	Restaurants	2	382
afternoon	5	1	medium	0	New Orleans	Breakfast & Brunch	2	383
evening	5	1	long	0	Tucson	Restaurants	2	384
night	1	0	long	1	Santa Barbara	Coffee & Tea	2	385
morning	3	0	long	0	Philadelphia	Food	2	386
afternoon	4	0	medium	0	Philadelphia	Barbeque	1	387
evening	0	0	long	1	Springfield	Burgers	2	388
evening	3	0	long	0	Santa Barbara	Live/Raw Food	2	389
evening	4	0	long	1	New Orleans	Food	2	390
night	6	1	short	1	Tucson	Restaurants	1	391
afternoon	3	0	long	1	Nashville	Burgers	2	392
evening	1	0	long	1	St Louis	Bars	2	393
evening	3	0	short	0	Wayne	Restaurants	2	394
evening	0	0	long	1	New Orleans	Bars	1	395
evening	3	0	long	1	Saint Louis	Bars	2	396
night	3	0	long	0	St Charles	Food	2	397
night	0	0	long	0	Tucson	Restaurants	2	398
night	5	1	short	0	Reno	Bars	2	399
evening	2	0	long	1	Hudson	Restaurants	2	400
night	6	1	long	0	New Orleans	Restaurants	2	401
afternoon	3	0	short	0	Philadelphia	Pizza	2	402
evening	2	0	medium	1	Indianapolis	Breakfast & Brunch	2	403
evening	2	0	medium	0	Santa Barbara	Restaurants	2	404
afternoon	0	0	long	1	Santa Barbara	Bed & Breakfast	2	405
evening	0	0	medium	1	Philadelphia	Restaurants	3	406
night	1	0	short	1	Saint Louis	Restaurants	2	407
evening	2	0	long	1	Philadelphia	Restaurants	2	408
night	1	0	long	1	Indianapolis	Restaurants	1	409
evening	0	0	short	0	Santa Barbara	Coffee & Tea	2	410
night	6	1	medium	1	Tampa	Food	2	411
afternoon	2	0	short	1	Indianapolis	Food	2	412
afternoon	2	0	long	0	Philadelphia	Food	2	413
evening	6	1	medium	0	Tampa	Restaurants	4	414
afternoon	5	1	long	1	Philadelphia	Restaurants	1	415
evening	1	0	long	1	New Orleans	Breakfast & Brunch	2	416
afternoon	0	0	long	1	Nashville	Sports Bars	2	417
afternoon	6	1	short	0	Santa Barbara	Restaurants	2	418
evening	4	0	medium	1	Philadelphia	Restaurants	2	419
morning	0	0	long	1	Philadelphia	Dive Bars	2	420
afternoon	5	1	long	0	Philadelphia	Restaurants	2	421
night	0	0	long	0	Nashville	Bars	2	422
night	5	1	medium	0	Reno	Dive Bars	1	423
night	5	1	medium	1	Indianapolis	Restaurants	1	424
night	4	0	medium	0	Tucson	Food	1	425
evening	4	0	long	1	Indianapolis	Bars	2	426
afternoon	3	0	medium	1	Tucson	Bars	2	427
night	4	0	long	1	Tucson	Restaurants	1	428
evening	1	0	long	1	Saint Louis	Restaurants	2	429
morning	6	1	long	1	Philadelphia	Bars	2	430
morning	5	1	long	0	New Orleans	Restaurants	2	431
afternoon	6	1	long	1	Tampa	Restaurants	2	432
afternoon	2	0	long	1	Indianapolis	Bars	2	433
afternoon	4	0	long	1	Brentwood	Restaurants	1	434
night	1	0	short	1	New Orleans	Bars	3	435
night	4	0	medium	1	Philadelphia	Restaurants	3	436
evening	2	0	medium	0	Saint Petersburg	Bars	2	437
afternoon	4	0	long	1	Santa Barbara	Live/Raw Food	2	438
evening	2	0	long	0	New Orleans	Restaurants	2	439
afternoon	2	0	long	0	Philadelphia	Bars	2	440
evening	5	1	medium	0	St Charles	Restaurants	1	441
evening	6	1	long	1	Doylestown	Food	2	442
evening	1	0	medium	1	Norristown	Restaurants	2	443
night	0	0	long	1	Buckingham	Food	2	444
afternoon	1	0	medium	1	New Orleans	Barbeque	2	445
afternoon	4	0	long	1	Santa Barbara	Food	2	446
night	1	0	long	1	New Orleans	Food	2	447
evening	2	0	long	1	Tampa	Restaurants	2	448
afternoon	0	0	long	1	Nashville	Barbeque	2	449
morning	5	1	long	1	Reno	Food	3	450
afternoon	2	0	long	0	Reno	Bars	1	451
evening	2	0	long	1	Nashville	Restaurants	2	452
evening	2	0	long	1	Philadelphia	Restaurants	3	453
afternoon	4	0	short	0	Philadelphia	Restaurants	3	454
afternoon	0	0	long	1	St Petersburg	Bars	2	455
afternoon	2	0	medium	1	Phoenixville	Comfort Food	2	456
evening	5	1	long	1	Philadelphia	Restaurants	2	457
morning	2	0	long	1	Tampa	Restaurants	2	458
afternoon	6	1	long	1	Clayton	Food	2	459
morning	0	0	long	1	Santa Barbara	Food	2	460
afternoon	0	0	long	1	Tucson	Coffee & Tea	1	461
night	5	1	medium	1	Philadelphia	Restaurants	1	462
afternoon	3	0	short	0	Nashville	Coffee & Tea	2	463
evening	2	0	long	1	Tampa	Bars	2	464
night	0	0	short	1	Nashville	Beer Bar	2	465
afternoon	1	0	medium	1	Tampa	Restaurants	2	466
night	5	1	long	1	St. Louis	Bars	2	467
afternoon	4	0	long	0	Philadelphia	Wine Bars	3	468
night	0	0	long	0	Indianapolis	Restaurants	3	469
afternoon	5	1	short	1	New Orleans	Breakfast & Brunch	2	470
night	2	0	medium	0	Philadelphia	Specialty Food	3	471
evening	2	0	medium	1	New Orleans	Restaurants	2	472
afternoon	1	0	medium	1	Carpinteria	Food	2	473
night	4	0	long	1	Philadelphia	Restaurants	2	474
afternoon	5	1	long	1	Saint Louis	Restaurants	2	475
afternoon	5	1	long	0	Saint Louis	Restaurants	2	476
evening	0	0	long	1	New Orleans	Restaurants	2	477
evening	1	0	medium	1	Saint Louis	Bars	2	478
morning	2	0	medium	1	Tampa	Bars	2	479
afternoon	3	0	medium	1	Tucson	Restaurants	3	480
night	2	0	long	1	Tampa	Burgers	2	481
afternoon	4	0	long	1	Southampton	Restaurants	2	482
afternoon	1	0	medium	0	Nashville	Cocktail Bars	2	483
afternoon	3	0	medium	1	Ballwin	Food	2	484
night	4	0	medium	1	New Orleans	Restaurants	2	485
evening	0	0	long	0	Santa Barbara	Restaurants	2	486
evening	0	0	long	0	Nashville	Restaurants	1	487
night	2	0	medium	1	Tucson	Restaurants	2	488
afternoon	4	0	medium	1	Philadelphia	Restaurants	1	489
afternoon	2	0	medium	1	Philadelphia	Pizza	1	490
night	5	1	medium	1	Indianapolis	Breakfast & Brunch	1	491
afternoon	6	1	medium	1	Indianapolis	Bars	2	492
afternoon	0	0	medium	1	Media	Restaurants	2	493
afternoon	5	1	long	1	Ardmore	Pizza	1	494
evening	6	1	medium	0	Media	Restaurants	2	495
afternoon	5	1	long	1	Maple Shade Township	Restaurants	2	496
evening	5	1	short	0	Philadelphia	Restaurants	1	497
evening	1	0	long	1	Indianapolis	Restaurants	1	498
evening	3	0	long	1	Saint Petersburg	Bars	2	499
afternoon	3	0	long	1	Saint Petersburg	Breakfast & Brunch	2	500
afternoon	0	0	long	1	West Chester	Pizza	2	501
evening	0	0	long	1	New Orleans	Bars	2	502
night	3	0	long	1	Tucson	Coffee & Tea	2	503
evening	4	0	medium	0	Reno	Restaurants	2	504
